"question","question_name","dataset","question_text","variant","variant_text","weight"
21,"quantifier","bare_people_kde","You're describing a trip to a crowded shop. Could you say:","bare","I saw bare people there.",1
21,"quantifier","bare_people_kde","You're describing a trip to a crowded shop. Could you say:","a_load_of","I saw a load of people there.",1
21,"quantifier","bare_people_kde","You're describing a trip to a crowded shop. Could you say:","lots_of","I saw lots of people there.",1
21,"quantifier","bare_people_kde","You're describing a trip to a crowded shop. Could you say:","a_lot_of","I saw a lot of people there.",1
21,"quantifier","bare_people_kde","You're describing a trip to a crowded shop. Could you say:","loads_of","I saw loads of people there.",1
22,"want_wanting","want_wanting_kde378","A friend asks you what you're thinking about buying for yourself. Could you say:","wanting","I'm wanting a new shirt.",1
22,"want_wanting","want_wanting_kde378","A friend asks you what you're thinking about buying for yourself. Could you say:","want","I want a new shirt.",1
23,"isnt_innit","isnt_innit_kde100","You're heading into town with a friend. Could you say:","innit","That's our bus, innit?",1
23,"isnt_innit","isnt_innit_kde100","You're heading into town with a friend. Could you say:","ent","That's our bus, en't it?",1
23,"isnt_innit","isnt_innit_kde100","You're heading into town with a friend. Could you say:","isnt","That's our bus, isn't it?",1
23,"isnt_innit","isnt_innit_kde100","You're heading into town with a friend. Could you say:","int","That's our bus, in't it?",1
23,"isnt_innit","isnt_innit_kde100","You're heading into town with a friend. Could you say:","arent","That's our bus, aren't it?",1
23,"isnt_innit","isnt_innit_kde100","You're heading into town with a friend. Could you say:","aint","That's our bus, ain't it?",1
24,"headed_heading","headed_kde","You bump into a friend on the street and he asks you what you're up to. ","past_participle","I was just headed home.",1
24,"headed_heading","headed_kde","You bump into a friend on the street and he asks you what you're up to. ","present_participle","I was just heading home.",1
24,"headed_heading","headed_kde","You bump into a friend on the street and he asks you what you're up to. ","past_participle_were","I were just headed home.",1
24,"headed_heading","headed_kde","You bump into a friend on the street and he asks you what you're up to. ","present_participle_were","I were just heading home.",1
25,"down the pub vs. at vs. in","down_the_pub_kde","If you were going to watch the football with some friends, which of these could you use to describe where you were going?","at","I'm watching it at the pub.",1
25,"down the pub vs. at vs. in","down_the_pub_kde","If you were going to watch the football with some friends, which of these could you use to describe where you were going?","in","I'm watching it in the pub.",1
25,"down the pub vs. at vs. in","down_the_pub_kde","If you were going to watch the football with some friends, which of these could you use to describe where you were going?","down","I'm watching it down the pub.",1
26,"kw_tw","kw_tw_kde","How do you pronounce the first two letters of 'quilt'?","tw","With a ""tw"" sound, like in ""twin"".",1
26,"kw_tw","kw_tw_kde","How do you pronounce the first two letters of 'quilt'?","kw","With a ""kw"" sound, like in ""quiver"".",1
27,"card_cord_merger","card_cord_merger_kde","Does 'card' sound the same as 'cord' when you pronounce them in casual conversation?","merger","Yes, they are identical.",1
27,"card_cord_merger","card_cord_merger_kde","Does 'card' sound the same as 'cord' when you pronounce them in casual conversation?","no_merger","No, they sound different.",1
28,"wh","wh_kde","How do you pronounce the word 'whale'?","w","Just like ""wail"".",1
28,"wh","wh_kde","How do you pronounce the word 'whale'?","kw","Just like ""quail"".",1
28,"wh","wh_kde","How do you pronounce the word 'whale'?","hw","Differently to both ""quail"" and ""wail"".",1
29,"preposition drop_run","preposition_drop_kde86","You're offering to pick something up from the local shop in a hurry. Could you say:","NODATA","I'll run t'shop.",1
29,"preposition drop_run","preposition_drop_kde86","You're offering to pick something up from the local shop in a hurry. Could you say:","preposition_retained","I'll run to the shop.",1
29,"preposition drop_run","preposition_drop_kde86","You're offering to pick something up from the local shop in a hurry. Could you say:","preposition_drop_determiner","I'll run the shop.",1
29,"preposition drop_run","preposition_drop_kde86","You're offering to pick something up from the local shop in a hurry. Could you say:","preposition_drop_no_determiner","I'll run shop.",1
30,"dative alternation_full_noun_DO","double_object_pronominal_objects_kde34","If you were planning to return a book you had borrowed, would you say:","prepositional_dative","I’ll give the book to her tomorrow. ",1
30,"dative alternation_full_noun_DO","double_object_pronominal_objects_kde34","If you were planning to return a book you had borrowed, would you say:","goal_theme_ditransitive","I’ll give her the book tomorrow.",1
30,"dative alternation_full_noun_DO","double_object_pronominal_objects_kde34","If you were planning to return a book you had borrowed, would you say:","theme_goal_ditransitive","I’ll give the book her tomorrow.",1
31,"dative alternation_full_noun_IO","double_object_pronominal_objects_kde34","If you were planning to return a book you had borrowed, would you say:","prepositional_dative","I’ll give it to Jane tomorrow. ",1
31,"dative alternation_full_noun_IO","double_object_pronominal_objects_kde34","If you were planning to return a book you had borrowed, would you say:","theme_goal_ditransitive","I’ll give it Jane tomorrow.",1
31,"dative alternation_full_noun_IO","double_object_pronominal_objects_kde34","If you were planning to return a book you had borrowed, would you say:","goal_theme_ditransitive","I’ll give Jane it tomorrow.",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde131","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","himself","himself",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde138","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","NODATA","himseln",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde133","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","hisself","hisself",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde138","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","NODATA","hisseln",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde137","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","NODATA","hissen",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde134","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","hissel","hissel",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde136","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","himsen","himsen",1
32,"3sgm. ref. pro. first & second element_object","reflexives_kde132","Fill in the gap in this sentence: 'He can see ___ in the mirror.'","himsel","himsel",1
33,"do support in neg decl","do_support_indef_negative_kde","At a picnic, your friend asks you where the bottle opener is, but you thought they were going to bring it. Could you say:","dont_have","I don't have it.",1
33,"do support in neg decl","do_support_indef_negative_kde","At a picnic, your friend asks you where the bottle opener is, but you thought they were going to bring it. Could you say:","havent_got","I haven't got it.",1
33,"do support in neg decl","do_support_indef_negative_kde","At a picnic, your friend asks you where the bottle opener is, but you thought they were going to bring it. Could you say:","havent","I haven’t it.",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","mesen","mesen",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","maself","maself",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","mesel","mesel",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","meself","meself",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","meseln","meseln",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","mesels","mesels",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","mysel","mysel",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","myseln","myseln",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","mysels","mysels",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","mysen","mysen",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","masel","masel",1
34,"1sg_reflexive_pronoun","1sg_reflexive_pronoun_kde","How would you complete this sentence: 'One of the first things I do when I get up in the morning is wash ___.'","myself","myself",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","oursen","oursen",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","oursens","oursens",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","us","us",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ussel","ussel",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","usself","usself",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","usselfs","usselfs",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ussen","ussen",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","usselves","usselves",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ussels","ussels",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","weselves","weselves",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","wesels","wesels",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ussens","ussens",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","oursel","oursel",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ourself","ourself",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ourselfs","ourselfs",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ourseln","ourseln",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ourselns","ourselns",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","oursels","oursels",1
35,"1pl_reflexive_pronoun","1pl_reflexive_pronoun_kde","How would you complete this sentence: 'We often don't see ___ as others see us.'","ourselves","ourselves",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yoursels","yoursels",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","theesel","theesel",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yourselve","yourselve",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yeself","yeself",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yoursel","yoursel",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yoursen","yoursen",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yourselves","yourselves",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yourselfs","yourselfs",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yourself","yourself",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yourseln","yourseln",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","you","you",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yourselt","yourselt",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","'ee","'ee",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","deesel","deesel",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","thasel","thasel",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","thaself","thaself",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","thaseln","thaseln",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","thasels","thasels",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","thasen","thasen",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","yesel","yesel",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","theeself","theeself",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","theeseln","theeseln",1
36,"2sg_reflexive_pronoun","2sg_reflexive_pronoun_kde","How would you complete this sentence if speaking to one person: 'Can you see ___ in the photo?'","theesels","theesels",1
